scenario;co2price;wind_lim;pv_cost;variable;AT;DE
base;120;16;16715;syscost;3496939,6229332997;23558716,66441784
base;120;16;16715;co2emission;3787,30602701337;42193,25978286034
base;120;16;16715;curtail;6946,091217015429;14342,981625848688
base;120;16;16715;gen_el;13664,529437214187;170064,55503556633
base;120;16;16715;gen_ht;22516,666599999106;127978,0241000036
base;120;16;16715;gen_biomass;4778,704147998155;73896,56765942652
base;120;16;16715;gen_renew;86323,05706064258;396634,8032120758
base;120;16;16715;cons_spend;4530415,511596444;32709779,058535583
base;120;16;16715;prod_surplus;5594473,508739305;25011531,857569948
base;120;16;16715;exports;;11287,031643706356
base;120;16;16715;export_value;1604855,164748006;279616,6855604506
base;120;16;16715;import_value;-279616,6855604506;-1604855,164748006
base;120;16;16715;in_storages;11786,241721954582;118032,31207824746
base;120;16;16715;gen_storages;15391,103534407857;107441,27985103615
base;120;16;16715;price_el;55,1030763330371;60,621761983969435
base;120;16;16715;price_ht;25,64615374360054;25,51333930343859
base;120;16;16715;add_pv;22,69173835443928;88,97057130772977
base;120;16;16715;add_ror;0,0;0,0
base;120;16;16715;add_wind_off;0,0;15,0
base;120;16;16715;add_wind_on;13,644930162529143;0,0
base;120;16;16715;add_nuc;0,0;1,0
base;120;16;16715;add_lig_stm;0,0;1,0
base;120;16;16715;add_lig_stm_chp;0,0;0,0
base;120;16;16715;add_lig_boa;0,0;0,0
base;120;16;16715;add_lig_boa_chp;0,0;0,0
base;120;16;16715;add_coal_sub;0,0;0,0
base;120;16;16715;add_coal_sub_chp;3,0382476470588236;13,709070176470588
base;120;16;16715;add_coal_sc;0,0;0,0
base;120;16;16715;add_coal_sc_chp;0,0;0,0
base;120;16;16715;add_ng_stm;0,0;0,0
base;120;16;16715;add_ng_stm_chp;0,0;0,0
base;120;16;16715;add_ng_cbt_lo;0,0;0,0
base;120;16;16715;add_ng_cbt_lo_chp;0,0;0,0
base;120;16;16715;add_ng_cbt_hi;0,0;0,0
base;120;16;16715;add_ng_cbt_hi_chp;0,0;0,0
base;120;16;16715;add_ng_cc_lo;0,0;0,0
base;120;16;16715;add_ng_cc_lo_chp;0,0;0,0
base;120;16;16715;add_ng_cc_hi;0,0;7,518071712409148
base;120;16;16715;add_ng_cc_hi_chp;0,0;0,0
base;120;16;16715;add_ng_mtr;0,0;0,0
base;120;16;16715;add_ng_mtr_chp;0,0;0,0
base;120;16;16715;add_oil_stm;0,0;0,0
base;120;16;16715;add_oil_stm_chp;0,0;0,0
base;120;16;16715;add_oil_cbt;0,818141743589743;9,163971688154827
base;120;16;16715;add_oil_cbt_chp;0,0;0,0
base;120;16;16715;add_oil_cc;0,0;0,0
base;120;16;16715;add_bio;0,0;0,0
base;120;16;16715;add_bio_chp;0,0;0,0
base;120;16;16715;add_ng_boiler_chp;0,0;0,0
base;120;16;16715;add_heatpump_pth;0,0;0,0
base;120;16;16715;cost_airpol;266292,678950671;2535567,916610866
base;120;14;36715;syscost;3303784,863823823;24997967,782504488
base;120;14;36715;co2emission;4586,185387350396;57694,273944403416
base;120;14;36715;curtail;2488,64722671288;9098,014983594152
base;120;14;36715;gen_el;16340,527577239694;220555,6410056455
base;120;14;36715;gen_ht;22516,66187870834;127978,02410001251
base;120;14;36715;gen_biomass;5572,095527002356;81346,22748783218
base;120;14;36715;gen_renew;72823,27531989047;337077,97168717306
base;120;14;36715;cons_spend;5198139,353694814;36586961,82374226
base;120;14;36715;prod_surplus;5737555,648443469;26073927,404065948
base;120;14;36715;exports;;6275,012846372561
base;120;14;36715;export_value;1392342,8269509913;501155,44917348574
base;120;14;36715;import_value;-501155,44917348574;-1392342,8269509913
base;120;14;36715;in_storages;6417,751371271351;60518,205211548375
base;120;14;36715;gen_storages;10950,552235311567;54529,45109122111
base;120;14;36715;price_el;63,22876158384938;67,06630140744309
base;120;14;36715;price_ht;28,223841037996852;27,06598048832464
base;120;14;36715;add_pv;6,114055565055997;9,270211433846658
base;120;14;36715;add_ror;0,0;0,0
base;120;14;36715;add_wind_off;0,0;15,0
base;120;14;36715;add_wind_on;14,0;6,4645194907388515
base;120;14;36715;add_nuc;0,0;1,0
base;120;14;36715;add_lig_stm;0,0;1,0
base;120;14;36715;add_lig_stm_chp;0,0;0,0
base;120;14;36715;add_lig_boa;0,0;0,0
base;120;14;36715;add_lig_boa_chp;0,0;0,0
base;120;14;36715;add_coal_sub;0,0;0,0
base;120;14;36715;add_coal_sub_chp;2,8998263552285297;13,001634033580455
base;120;14;36715;add_coal_sc;0,0;0,0
base;120;14;36715;add_coal_sc_chp;0,0;0,0
base;120;14;36715;add_ng_stm;0,0;0,0
base;120;14;36715;add_ng_stm_chp;0,0;0,0
base;120;14;36715;add_ng_cbt_lo;0,0;0,0
base;120;14;36715;add_ng_cbt_lo_chp;0,0;0,0
base;120;14;36715;add_ng_cbt_hi;0,0;0,0
base;120;14;36715;add_ng_cbt_hi_chp;0,0;0,0
base;120;14;36715;add_ng_cc_lo;0,0;0,0
base;120;14;36715;add_ng_cc_lo_chp;0,0;0,0
base;120;14;36715;add_ng_cc_hi;0,0;15,82768944235439
base;120;14;36715;add_ng_cc_hi_chp;0,0;0,0
base;120;14;36715;add_ng_mtr;0,0;0,0
base;120;14;36715;add_ng_mtr_chp;0,0;0,0
base;120;14;36715;add_oil_stm;0,0;0,0
base;120;14;36715;add_oil_stm_chp;0,0;0,0
base;120;14;36715;add_oil_cbt;1,0034323611682516;6,466667422269551
base;120;14;36715;add_oil_cbt_chp;0,0;0,0
base;120;14;36715;add_oil_cc;0,0;0,0
base;120;14;36715;add_bio;0,0;0,0
base;120;14;36715;add_bio_chp;0,0;0,0
base;120;14;36715;add_ng_boiler_chp;0,0;0,0
base;120;14;36715;add_heatpump_pth;0,0;0,0
base;120;14;36715;cost_airpol;202284,8353654363;2420847,1424759272
base;120;14;16715;syscost;3496838,743480287;23558817,543870848
base;120;14;16715;co2emission;3786,798839373838;42193,76697049982
base;120;14;16715;curtail;6963,492956120349;14351,299379164846
base;120;14;16715;gen_el;13662,90232588276;170066,1821468975
base;120;14;16715;gen_ht;22516,666599999106;127978,0241000036
base;120;14;16715;gen_biomass;4778,704147998156;73896,56765942654
base;120;14;16715;gen_renew;86323,05706064258;396634,8032120757
base;120;14;16715;cons_spend;4530415,511596443;32709779,058535516
base;120;14;16715;prod_surplus;5594473,508739306;25011531,857569892
base;120;14;16715;exports;;11268,30201253161
base;120;14;16715;export_value;1604952,9395376688;279815,33980312315
base;120;14;16715;import_value;-279815,33980312315;-1604952,9395376688
base;120;14;16715;in_storages;11785,031891617879;117843,88072325238
base;120;14;16715;gen_storages;15390,192923332766;107278,26876920067
base;120;14;16715;price_el;55,10307633303708;60,62176198396936
base;120;14;16715;price_ht;25,64615374360052;25,513339303438585
base;120;14;16715;add_pv;22,69173835443928;88,97057130772968
base;120;14;16715;add_ror;0,0;0,0
base;120;14;16715;add_wind_off;0,0;15,0
base;120;14;16715;add_wind_on;13,644930162529143;0,0
base;120;14;16715;add_nuc;0,0;1,0
base;120;14;16715;add_lig_stm;0,0;1,0
base;120;14;16715;add_lig_stm_chp;0,0;0,0
base;120;14;16715;add_lig_boa;0,0;0,0
base;120;14;16715;add_lig_boa_chp;0,0;0,0
base;120;14;16715;add_coal_sub;0,0;0,0
