;;;;;AT;DE;Value
base;0;14;36424;add_g_coal_usc;0,0;0,0;
base;0;14;36424;add_g_coal_usc_chp;0,0;0,0;
base;0;14;36424;add_g_eboi_pth;0,0;0,0;
base;0;14;36424;add_g_heatpump_pth;0,0;0,0;
base;0;14;36424;add_g_hpa_pth;0,0;0,0;
base;0;14;36424;add_g_lig_boa;0,0;0,0;
base;0;14;36424;add_g_lig_boa_chp;0,0;0,0;
base;0;14;36424;add_g_lig_stm;0,0;0,0;
base;0;14;36424;add_g_lig_stm_chp;0,0;0,0;
base;0;14;36424;add_g_ng_boiler_chp;0,49745779999999984;0,0;
base;0;14;36424;add_g_ng_cbt_hi;0,0;0,0;
base;0;14;36424;add_g_ng_cbt_hi_chp;0,0;0,0;
base;0;14;36424;add_g_ng_cbt_lo;0,0;0,0;
base;0;14;36424;add_g_ng_cbt_lo_chp;0,0;0,0;
base;0;14;36424;add_g_ng_cc_hi;0,0;0,9244405750015803;
base;0;14;36424;add_g_ng_cc_hi_chp;0,0;0,0;
base;0;14;36424;add_g_ng_cc_lo;0,0;0,0;
base;0;14;36424;add_g_ng_cc_lo_chp;0,0;0,0;
base;0;14;36424;add_g_ng_mtr;0,0;0,0;
base;0;14;36424;add_g_ng_mtr_chp;0,0;0,0;
base;0;14;36424;add_g_ng_stm;0,0;0,19857821222852834;
base;0;14;36424;add_g_ng_stm_chp;0,0;15,998242105263156;
base;0;14;36424;add_g_nuc;0,0;0,0;
base;0;14;36424;add_g_oil_cbt;0,0;0,0;
base;0;14;36424;add_g_oil_cbt_chp;0,0;0,0;
base;0;14;36424;add_g_oil_cc;0,0;0,0;
base;0;14;36424;add_g_oil_cc_chp;0,0;0,0;
base;0;14;36424;add_g_oil_stm;0,0;0,7329166960461864;
base;0;14;36424;add_g_oil_stm_chp;0,0;2,098905423296242;
base;0;14;36424;deco_g_bio;0,0;3,2552000000000003;
base;0;14;36424;deco_g_bio_boiler_chp;0,8;2,6;
base;0;14;36424;deco_g_bio_chp;0,0;0,0;
base;0;14;36424;deco_g_coal_igcc;0,0;0,0;
base;0;14;36424;deco_g_coal_sc;0,0;0,0;
base;0;14;36424;deco_g_coal_sc_chp;0,0;0,0;
base;0;14;36424;deco_g_coal_sub;0,0;0,0;
base;0;14;36424;deco_g_coal_sub_chp;0,0;0,0;
base;0;14;36424;deco_g_coal_usc;0,0;0,0;
base;0;14;36424;deco_g_coal_usc_chp;0,0;0,0;
base;0;14;36424;deco_g_eboi_pth;0,0;0,0;
base;0;14;36424;deco_g_heatpump_pth;0,0;0,0;
base;0;14;36424;deco_g_hpa_pth;0,0;0,0;
base;0;14;36424;deco_g_lig_boa;0,0;0,0;
base;0;14;36424;deco_g_lig_boa_chp;0,0;0,0;
base;0;14;36424;deco_g_lig_stm;0,0;0,0;
base;0;14;36424;deco_g_lig_stm_chp;0,0;0,0;
base;0;14;36424;deco_g_ng_boiler_chp;0,0;0,0;
base;0;14;36424;deco_g_ng_cbt_hi;0,0;0,0;
base;0;14;36424;deco_g_ng_cbt_hi_chp;0,0;0,428;
base;0;14;36424;deco_g_ng_cbt_lo;0,12814;0,0;
base;0;14;36424;deco_g_ng_cbt_lo_chp;0,27692;1,082;
base;0;14;36424;deco_g_ng_cc_hi;0,0;0,0;
base;0;14;36424;deco_g_ng_cc_hi_chp;0,0;0,0;
